elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,13.5,91.0,1
2.0,32.7,91.1,1
3.0,9.8,90.9,1
4.0,33.3,90.9,1
5.01,11.2,90.6,1
6.01,5.6,90.6,1
7.01,10.1,90.6,1
8.01,9.4,90.6,1
9.01,16.9,90.8,1
10.01,36.7,90.8,1
11.01,10.6,90.8,1
12.01,7.7,90.8,1
13.01,13.2,90.8,1
14.01,17.9,90.8,1
15.02,17.4,90.8,1
16.02,8.1,90.8,1
17.02,11.4,90.8,1
18.02,15.4,91.0,1
19.02,24.4,91.1,1
20.03,34.3,91.0,1
21.03,52.4,91.5,1
22.03,17.1,91.4,1
23.03,12.3,91.4,1
24.03,10.4,91.4,1
25.03,9.9,91.3,1
26.03,12.7,91.4,1
27.04,10.4,91.4,1
28.04,17.3,91.4,1
29.04,12.5,91.4,1
30.04,18.1,91.4,1
31.05,17.9,91.3,1
32.05,23.3,91.3,1
33.05,12.8,91.3,1
34.05,9.7,91.2,1
35.05,19.1,91.2,1
36.05,8.7,91.2,1
37.05,8.0,91.2,1
38.05,10.3,91.3,1
39.06,17.4,91.0,1
40.06,15.7,91.0,1
41.06,13.8,91.0,1
42.06,9.8,91.0,1
43.07,8.8,91.1,1
44.07,7.6,91.0,1
45.07,10.4,90.9,1
46.07,13.3,90.7,1
47.07,8.4,90.8,1
48.07,5.1,90.8,1
49.07,8.0,90.6,1
50.07,7.6,90.6,1
51.07,11.1,90.4,1
52.07,7.4,90.3,1
53.08,6.5,90.2,1
54.08,6.6,90.3,1
55.08,11.1,90.3,1
56.08,7.0,90.2,1
57.08,12.7,90.2,1
58.08,11.9,90.2,1
59.09,7.3,90.2,1
60.09,5.3,90.2,1
61.09,5.7,90.2,1
62.09,7.1,90.2,1
63.09,5.3,90.2,1
64.09,6.0,90.3,1
65.09,13.9,90.4,1
66.09,8.3,90.4,1
67.1,8.6,90.4,1
68.1,13.8,90.4,1
69.1,15.2,90.5,1
70.1,13.5,90.2,1
71.1,11.9,90.2,1
72.1,9.9,90.2,1
73.1,14.3,90.2,1
74.1,11.2,90.3,1
75.1,11.2,90.3,1
76.1,9.7,90.3,1
77.1,6.9,90.3,1
78.11,5.8,90.3,1
79.11,10.7,90.4,1
80.11,15.7,90.6,1
81.11,10.3,90.7,1
82.11,36.7,90.9,1
83.11,46.0,91.0,1
84.11,31.9,90.9,1
85.12,13.1,91.1,1
86.12,21.5,91.1,1
87.12,39.4,91.1,1
88.12,35.6,91.3,1
89.12,21.4,90.8,1
90.12,40.2,90.9,1
91.12,40.6,91.0,1
92.13,19.5,91.0,1
93.13,17.9,90.9,1
94.13,16.7,90.9,1
95.13,18.8,90.6,1
96.13,43.8,90.8,1
97.14,59.6,91.0,1
98.14,51.3,91.1,1
99.14,62.1,91.1,1
100.14,25.5,91.0,1
101.15,20.6,91.2,1
102.15,32.6,91.1,1
103.15,21.4,91.1,1
104.15,12.8,91.1,1
105.15,8.7,91.1,1
106.15,8.3,91.1,1
107.15,13.6,91.0,1
108.15,10.0,90.9,1
109.16,7.3,90.9,1
110.16,17.0,90.6,1
111.16,10.2,90.6,1
112.16,9.9,90.6,1
113.16,21.6,90.6,1
114.16,26.4,91.1,1
115.17,13.6,91.1,1
116.17,18.4,91.2,1
117.17,15.5,91.2,1
118.17,16.4,90.4,1
119.17,11.9,90.3,1
120.18,12.7,90.3,1
121.19,21.8,90.3,1
122.19,16.7,90.0,1
123.19,19.7,90.0,1
124.19,13.0,90.2,1
125.19,11.2,90.2,1
126.19,9.3,90.2,1
127.19,7.4,90.2,1
128.19,6.4,90.1,1
129.19,11.1,90.1,1
