elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,33.7,95.7,1
2.0,27.6,95.1,1
3.0,21.5,94.1,1
4.0,15.5,94.4,1
5.01,10.6,94.4,1
6.01,7.5,94.3,1
7.01,5.4,94.2,1
8.01,11.2,94.1,1
9.01,6.1,94.2,1
10.01,7.3,94.1,1
11.01,9.5,94.1,1
12.02,14.2,94.0,1
13.02,12.2,94.0,1
14.02,10.2,94.0,1
15.02,7.5,94.0,1
16.02,7.2,94.0,1
17.03,13.0,94.0,1
18.03,10.2,94.0,1
19.03,9.4,94.0,1
20.03,5.4,94.5,1
21.03,10.5,94.4,1
22.03,9.8,94.4,1
23.04,17.3,94.5,1
24.04,10.6,94.5,1
25.04,8.6,94.5,1
26.04,9.8,94.4,1
27.04,7.0,94.5,1
28.04,10.4,94.5,1
29.05,10.2,94.5,1
30.05,5.9,94.5,1
31.05,10.0,94.4,1
32.05,7.2,94.3,1
33.05,11.1,94.3,1
34.05,6.4,94.4,1
35.05,13.9,94.5,1
36.06,7.9,94.5,1
37.06,8.6,94.4,1
38.06,7.9,94.5,1
39.06,9.7,94.4,1
40.06,9.1,94.4,1
41.07,8.7,94.4,1
42.07,7.9,94.5,1
43.07,8.0,94.4,1
44.07,8.6,94.4,1
45.07,7.0,94.4,1
46.07,6.8,94.4,1
47.07,7.8,94.5,1
48.08,7.4,94.4,1
49.08,13.7,94.5,1
50.08,14.1,94.0,1
51.08,8.0,93.9,1
52.08,11.6,93.9,1
53.08,10.6,94.1,1
54.08,7.1,94.1,1
55.08,7.6,94.0,1
56.09,10.0,94.0,1
57.09,8.8,94.0,1
58.09,8.2,93.9,1
59.09,7.2,93.9,1
60.09,7.3,93.6,1
61.09,7.3,93.7,1
62.09,13.3,93.6,1
63.09,8.5,93.6,1
64.1,7.8,93.6,1
65.1,11.0,93.7,1
66.1,9.5,93.2,1
67.1,10.1,92.8,1
68.1,9.5,92.7,1
69.1,19.6,93.0,1
70.1,8.6,92.9,1
71.1,7.8,92.9,1
72.11,7.7,92.9,1
73.11,14.3,92.9,1
74.11,10.1,92.9,1
75.11,7.3,93.0,1
76.11,10.9,92.9,1
77.11,9.0,93.1,1
78.12,16.9,93.1,1
79.12,9.6,93.1,1
80.12,12.8,93.7,1
81.12,13.8,94.4,1
82.12,17.3,94.4,1
83.12,10.2,94.3,1
84.12,9.1,94.2,1
85.13,7.2,94.1,1
86.13,7.3,94.1,1
87.13,8.9,94.1,1
88.13,9.2,94.1,1
89.13,7.5,94.1,1
90.13,8.9,94.1,1
91.13,7.9,94.0,1
92.13,6.0,94.0,1
93.13,6.6,94.0,1
94.14,7.8,94.0,1
95.14,5.5,94.0,1
96.14,5.6,94.0,1
97.14,10.4,92.7,1
98.14,9.0,92.2,1
99.14,8.3,92.2,1
100.14,11.2,92.1,1
101.14,11.8,92.3,1
102.15,8.7,92.4,1
103.15,9.0,92.2,1
104.15,7.1,92.2,1
105.15,6.8,92.1,1
106.15,7.5,92.1,1
107.15,9.4,92.2,1
108.15,7.3,92.1,1
109.16,6.4,92.2,1
110.16,9.8,92.1,1
111.16,9.5,91.6,1
112.16,8.1,91.6,1
113.16,9.1,91.4,1
114.16,11.3,91.4,1
