elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,20.8,90.4,1
2.0,9.3,90.4,1
3.0,19.7,90.4,1
4.01,7.8,90.4,1
5.01,27.5,90.4,1
6.01,10.1,90.4,1
7.01,10.9,90.4,1
8.01,20.1,90.4,1
9.01,13.6,90.4,1
10.01,16.7,90.4,1
11.02,23.6,90.5,1
12.02,14.0,90.4,1
13.02,11.0,90.5,1
14.02,11.0,90.5,1
15.02,6.3,90.4,1
16.03,6.2,90.5,1
17.03,12.0,90.8,1
18.03,47.9,90.7,1
19.03,70.9,90.9,1
20.04,46.3,90.8,1
21.04,45.2,90.8,1
22.04,29.1,90.7,1
23.04,28.9,90.7,1
24.04,27.1,90.9,1
25.05,62.9,91.2,1
26.05,39.5,91.3,1
27.05,45.4,91.3,1
28.05,36.1,91.0,1
29.05,28.1,91.0,1
30.05,21.1,91.1,1
31.06,22.5,90.6,1
32.06,21.0,90.1,1
33.06,24.1,90.1,1
34.06,17.5,90.0,1
35.06,31.9,90.2,1
36.06,38.6,90.1,1
37.07,28.9,90.3,1
38.07,9.6,90.0,1
39.07,11.1,90.0,1
40.07,10.1,90.0,1
41.07,20.1,90.1,1
42.07,18.3,90.1,1
43.07,16.2,90.5,1
44.07,11.0,90.4,1
45.07,15.3,90.5,1
46.07,10.9,90.5,1
47.08,9.7,90.5,1
48.08,9.9,90.4,1
49.08,11.6,90.4,1
50.08,6.0,90.4,1
51.08,8.6,90.3,1
52.08,11.5,90.2,1
53.08,7.4,90.1,1
54.08,5.0,90.0,1
55.08,8.3,90.1,1
56.08,9.6,90.1,1
57.08,8.5,90.1,1
58.09,14.2,90.2,1
59.09,17.8,90.3,1
60.09,18.7,90.4,1
61.09,18.6,90.6,1
62.09,14.3,90.6,1
63.09,22.8,90.6,1
64.09,13.3,90.7,1
65.1,15.1,90.7,1
66.1,9.1,90.6,1
67.1,12.9,90.6,1
68.1,9.3,90.6,1
69.1,12.0,90.6,1
70.1,7.0,90.6,1
71.1,14.1,90.6,1
72.11,6.7,90.6,1
73.11,12.0,90.5,1
74.11,8.3,90.5,1
75.11,13.7,90.5,1
76.11,11.7,90.5,1
77.11,17.6,90.5,1
78.11,12.7,90.5,1
79.11,12.3,90.6,1
80.12,10.2,90.5,1
81.12,14.5,90.5,1
82.12,10.5,90.5,1
83.12,16.0,90.5,1
84.12,11.2,90.5,1
85.12,16.2,90.5,1
86.13,12.1,90.5,1
87.13,19.7,90.5,1
88.13,15.8,90.5,1
89.13,23.8,90.5,1
90.13,9.8,90.5,1
91.14,21.5,90.6,1
92.14,23.9,90.6,1
93.14,23.9,90.6,1
94.14,10.5,90.6,1
95.14,22.3,90.6,1
96.14,9.2,90.6,1
97.14,21.5,90.5,1
98.15,11.9,90.5,1
99.15,14.9,90.5,1
100.15,8.4,90.5,1
101.15,17.0,90.5,1
102.15,11.4,90.5,1
103.15,14.8,90.5,1
104.15,9.9,90.4,1
105.15,17.4,90.3,1
106.16,14.3,90.0,1
107.16,25.0,90.2,1
108.16,19.1,90.2,1
109.16,17.0,90.2,1
110.16,9.5,90.2,1
111.16,26.5,90.2,1
112.16,14.0,90.3,1
113.17,20.2,90.3,1
114.17,17.9,90.3,1
115.17,18.9,90.3,1
116.17,13.1,90.3,1
117.17,20.1,90.3,1
118.17,22.1,90.4,1
119.17,24.9,90.4,1
120.18,8.1,90.4,1
121.18,20.7,90.4,1
122.18,15.7,90.2,1
123.18,21.4,90.1,1
124.18,7.5,90.2,1
125.18,22.3,90.1,1
126.18,8.9,90.2,1
127.18,15.2,90.1,1
128.19,8.2,90.1,1
129.19,15.2,90.1,1
130.19,15.7,89.8,1
131.19,15.6,89.8,1
132.19,8.6,89.9,1
133.2,14.9,89.8,1
134.22,11.6,89.8,1
135.23,13.8,89.7,1
136.25,13.2,89.7,1
137.26,17.6,89.5,1
138.28,19.4,89.6,1
139.29,8.1,89.6,1
140.29,17.2,89.6,1
141.29,9.0,89.6,1
142.29,14.3,89.6,1
143.29,6.3,89.6,1
144.29,18.5,89.7,1
145.29,9.0,89.6,1
146.3,15.0,89.7,1
147.3,11.0,89.7,1
148.3,15.0,89.7,1
149.3,11.3,89.7,1
150.3,19.0,89.8,1
151.31,9.9,89.7,1
152.31,20.2,89.8,1
153.31,12.1,89.7,1
154.32,25.0,89.8,1
155.32,11.4,89.8,1
156.32,14.0,89.8,1
157.32,12.3,89.7,1
158.33,16.1,89.8,1
159.33,11.0,89.8,1
160.33,19.8,89.8,1
161.33,8.9,89.7,1
162.33,12.2,89.8,1
163.33,7.0,89.7,1
164.34,24.6,89.7,1
165.34,8.6,89.8,1
166.34,16.5,89.7,1
167.35,9.9,89.6,1
168.35,14.6,89.9,1
169.35,11.0,89.8,1
170.35,12.5,89.8,1
171.35,16.1,89.8,1
172.35,18.5,89.8,1
173.35,11.7,89.8,1
174.35,23.2,89.8,1
175.35,9.3,89.6,1
176.35,10.1,89.6,1
177.35,13.5,89.6,1
