elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,7.8,82.8,2
2.0,4.7,82.7,2
3.0,3.7,82.7,2
4.0,5.0,82.7,2
5.01,4.3,82.6,2
6.01,3.0,82.5,2
7.01,26.1,84.2,2
8.01,30.3,83.5,2
9.01,6.9,83.4,2
10.01,5.0,83.4,2
11.01,2.6,83.4,2
12.01,13.6,83.1,2
13.02,3.6,83.1,2
14.02,9.4,83.0,2
15.02,8.6,83.1,2
16.02,4.8,83.1,2
17.02,7.2,83.1,2
18.02,6.6,83.1,2
19.02,7.6,83.1,2
20.03,2.8,82.9,2
21.03,5.9,82.8,2
22.03,4.3,82.8,2
23.03,3.7,82.7,2
24.03,5.4,82.7,2
25.03,5.1,82.7,2
26.05,4.8,82.6,2
27.05,4.2,82.6,2
28.05,4.8,82.5,2
29.05,2.4,82.5,2
30.05,4.0,82.2,2
31.05,4.5,82.2,2
32.05,4.1,82.2,2
33.06,4.2,82.2,2
34.06,3.6,82.3,2
35.06,4.5,82.2,2
36.06,4.2,82.2,2
37.06,2.4,82.2,2
38.06,4.6,82.2,2
39.06,3.8,82.2,2
40.06,2.6,82.2,2
41.06,7.9,82.2,2
42.06,2.3,82.2,2
43.07,4.8,82.2,2
44.07,2.7,82.2,2
45.07,2.7,82.2,2
46.07,2.7,82.2,2
47.07,7.2,82.2,2
48.07,7.0,82.2,2
49.07,5.5,82.2,2
50.07,2.6,82.2,2
51.08,2.7,82.2,2
52.08,3.6,82.2,2
53.08,3.4,82.2,2
54.08,4.0,82.2,2
55.08,3.0,82.0,2
56.08,5.8,82.2,2
57.08,5.6,82.2,2
58.08,6.6,82.2,2
59.08,4.7,82.2,2
60.08,4.1,82.2,2
61.08,3.7,82.2,2
62.09,2.7,82.2,2
63.09,4.3,82.2,2
64.09,4.6,82.2,2
65.09,3.8,82.2,2
66.09,5.7,82.2,2
67.09,9.0,82.3,2
68.09,28.6,82.7,2
69.09,44.7,83.7,2
70.09,31.1,83.8,2
71.1,21.5,83.9,2
72.1,17.2,83.9,2
73.1,39.8,84.0,2
74.1,31.8,84.2,2
75.1,23.1,84.2,2
76.1,16.9,84.1,2
77.1,34.6,84.0,2
78.1,11.0,84.1,2
79.11,24.5,84.0,2
80.11,5.4,83.8,2
81.11,13.3,83.8,2
82.11,6.2,83.8,2
83.11,14.1,83.8,2
84.11,17.5,84.0,2
85.11,36.5,84.0,2
86.11,18.2,83.9,2
87.12,20.1,83.8,2
88.12,20.4,83.9,2
89.12,19.6,83.9,2
90.12,13.5,83.9,2
91.12,15.2,83.9,2
92.12,5.4,83.8,2
93.12,14.9,83.8,2
94.12,6.1,83.8,2
95.13,13.5,83.8,2
96.13,8.6,84.0,2
97.13,31.3,84.2,2
98.13,47.1,84.2,2
99.14,17.8,84.2,2
100.14,19.7,84.2,2
101.14,5.1,84.1,2
102.14,5.2,84.1,2
103.14,10.7,84.0,2
104.14,17.9,84.1,2
105.15,4.6,83.7,2
106.15,6.1,83.7,2
107.15,5.1,83.6,2
108.15,8.7,83.6,2
109.15,8.9,83.6,2
110.15,3.0,83.6,2
111.15,2.7,83.6,2
112.15,4.9,83.5,2
113.15,4.7,83.5,2
114.16,3.4,83.4,2
115.16,6.4,83.4,2
116.16,13.5,83.1,2
117.16,9.8,83.1,2
118.16,6.9,83.1,2
119.16,7.2,82.5,2
120.16,7.1,82.4,2
121.16,7.8,82.5,2
122.17,8.9,82.6,2
123.17,5.6,82.6,2
124.17,3.5,82.6,2
125.17,4.9,82.5,2
126.17,8.4,82.6,2
127.17,5.1,82.5,2
128.17,4.2,82.5,2
