elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,15.2,82.9,1
2.01,24.3,83.6,1
3.01,26.3,83.5,1
4.01,8.8,83.6,1
5.01,6.0,83.5,1
6.01,5.9,83.5,1
7.01,5.2,83.5,1
8.01,4.7,83.5,1
9.01,5.3,83.2,1
10.01,4.8,83.2,1
11.01,3.4,83.1,1
12.02,4.8,83.1,1
13.02,3.2,83.1,1
14.02,6.8,83.1,1
15.02,27.6,83.5,1
16.02,8.2,83.5,1
17.02,6.4,83.5,1
18.02,14.7,83.6,1
19.03,26.9,83.3,1
20.03,24.1,83.6,1
21.04,4.1,83.5,1
22.04,9.7,83.6,1
23.13,10.9,83.7,1
24.13,4.5,83.5,1
25.14,14.0,83.4,1
26.14,18.5,83.6,1
27.14,16.2,83.7,1
28.14,8.5,83.7,1
29.14,14.4,83.8,1
30.14,9.9,83.7,1
31.14,18.3,83.4,1
32.14,10.8,83.4,1
33.14,10.2,83.5,1
34.14,13.0,83.9,1
35.15,14.5,83.9,1
36.15,5.9,83.9,1
37.15,22.7,83.8,1
38.15,4.7,83.8,1
39.15,10.7,83.8,1
40.15,9.3,83.7,1
41.15,10.3,83.7,1
42.15,4.5,83.7,1
43.16,10.5,83.7,1
44.16,4.9,83.6,1
45.16,14.3,83.5,1
46.16,8.7,83.6,1
47.16,21.0,83.6,1
48.16,4.4,83.6,1
49.16,10.3,83.6,1
50.16,3.6,83.6,1
51.17,11.2,83.7,1
52.17,5.5,83.7,1
53.17,11.5,83.6,1
54.17,5.1,83.7,1
55.17,9.1,83.7,1
56.17,2.8,83.7,1
57.17,11.7,83.7,1
58.17,8.2,83.7,1
59.17,10.3,83.8,1
60.18,4.0,83.8,1
61.18,15.6,83.7,1
62.18,5.4,83.7,1
63.18,9.1,83.8,1
64.18,6.8,83.8,1
65.18,12.1,83.7,1
66.18,3.9,83.3,1
67.18,10.1,83.3,1
68.19,5.5,83.3,1
69.19,12.5,83.3,1
70.19,5.6,83.2,1
71.19,9.8,83.3,1
72.19,7.7,83.3,1
73.19,12.0,83.3,1
74.19,4.7,83.3,1
75.19,10.5,83.3,1
76.2,5.0,83.3,1
77.2,14.5,83.3,1
78.2,9.9,83.3,1
79.21,13.1,83.3,1
80.21,7.9,83.3,1
81.21,17.3,83.3,1
82.21,9.2,83.3,1
83.21,11.9,83.3,1
84.21,4.4,83.3,1
85.22,11.1,83.3,1
86.22,8.7,83.4,1
