elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,13.1,89.1,2
2.0,10.1,89.1,2
3.0,8.2,88.9,2
4.0,12.5,88.9,2
5.0,11.9,89.0,2
6.01,24.6,89.3,2
7.01,10.9,89.3,2
8.01,29.1,89.3,2
9.01,14.2,89.3,2
10.01,11.5,89.3,2
11.01,13.5,89.3,2
12.01,25.8,89.4,2
13.01,17.9,89.3,2
14.01,8.2,89.3,2
15.01,6.2,89.2,2
16.01,5.2,89.2,2
17.02,5.1,89.3,2
18.02,7.9,89.2,2
19.02,16.5,89.2,2
20.02,25.4,89.3,2
21.02,6.8,89.2,2
22.02,8.7,89.2,2
23.02,8.9,89.2,2
24.02,8.1,89.2,2
25.02,16.4,89.3,2
26.03,21.2,89.3,2
27.03,7.8,89.1,2
28.03,9.7,89.1,2
29.03,16.6,89.1,2
30.03,10.7,89.1,2
31.03,22.4,89.1,2
32.03,30.6,89.2,2
33.03,27.8,89.2,2
34.04,29.8,89.3,2
35.04,32.9,89.2,2
36.04,36.4,88.6,2
37.04,61.2,88.5,2
38.04,57.3,88.2,2
39.05,33.6,87.6,2
40.05,10.1,87.6,2
41.05,8.8,87.7,2
42.05,13.5,87.6,2
43.05,9.8,87.5,2
44.05,9.2,87.5,2
45.05,22.1,87.8,2
46.05,24.5,88.1,2
47.06,19.5,88.0,2
48.06,70.7,88.1,2
49.06,79.0,88.2,2
50.06,12.7,88.2,2
51.07,10.0,88.2,2
52.07,8.5,88.2,2
53.07,10.9,88.2,2
54.07,28.4,87.0,2
55.07,27.4,86.0,2
56.07,12.3,85.2,2
57.07,21.0,85.5,2
58.08,42.0,85.4,2
59.08,47.5,85.1,2
60.09,19.6,85.0,2
61.09,13.2,84.7,2
62.09,6.6,84.7,2
63.09,10.2,84.3,2
64.1,9.7,84.2,2
65.1,12.5,84.3,2
66.1,7.8,84.2,2
67.1,6.1,84.1,2
68.11,8.4,84.1,2
69.11,9.1,84.1,2
70.11,6.2,84.1,2
71.11,8.0,84.1,2
72.11,21.9,84.1,2
73.12,8.9,84.1,2
74.12,22.4,83.9,2
75.12,17.8,83.9,2
76.12,21.1,84.1,2
77.13,15.9,84.3,2
78.13,27.1,83.4,2
79.13,25.1,83.0,2
80.13,25.1,83.8,2
81.13,13.9,83.7,2
82.13,28.9,83.8,2
83.13,10.6,84.0,2
84.13,27.9,84.5,2
85.14,28.6,84.6,2
86.14,36.3,84.7,2
87.14,15.3,84.6,2
88.14,8.4,84.6,2
89.14,9.1,84.5,2
90.14,8.7,84.5,2
91.15,16.7,84.4,2
92.15,8.8,84.5,2
93.15,6.3,84.4,2
94.15,10.7,84.2,2
95.15,7.5,84.2,2
96.15,10.7,84.3,2
97.15,6.0,84.3,2
98.16,8.7,84.2,2
99.16,25.0,80.5,2
100.16,5.3,80.5,2
101.16,5.9,80.6,2
102.16,49.1,81.1,2
103.16,27.6,82.3,2
104.17,53.3,82.3,2
105.17,30.1,82.3,2
106.17,24.2,82.4,2
107.18,32.0,82.5,2
108.18,37.7,82.6,2
109.18,21.9,83.0,2
110.18,11.9,82.3,2
111.19,7.9,82.3,2
112.19,5.1,82.3,2
113.19,7.5,82.3,2
114.19,5.6,82.2,2
115.19,10.6,82.1,2
116.19,11.6,82.3,2
117.19,6.1,82.3,2
118.2,6.7,82.3,2
119.2,7.8,82.3,2
120.2,42.0,85.6,2
121.2,18.2,85.5,2
122.2,9.7,85.5,2
123.21,11.5,85.5,2
124.21,7.9,82.6,2
125.21,6.1,82.5,2
126.21,19.0,82.5,2
127.21,13.7,82.4,2
128.21,20.4,82.5,2
129.21,10.2,82.5,2
130.21,7.3,82.6,2
131.21,17.5,82.9,2
132.22,20.4,82.6,2
133.22,26.6,82.6,2
134.22,22.4,82.5,2
135.22,26.3,82.6,2
136.23,24.4,82.5,2
137.23,18.9,82.5,2
138.23,27.3,82.7,2
139.23,10.0,82.7,2
140.23,11.6,82.7,2
141.24,14.2,82.7,2
142.24,18.5,82.7,2
143.24,12.1,82.8,2
144.24,13.7,82.6,2
145.25,9.6,82.6,2
146.25,7.7,82.6,2
147.25,11.9,82.7,2
148.25,20.9,82.7,2
149.25,37.7,82.6,2
150.26,7.5,82.5,2
151.26,6.1,82.5,2
152.26,23.3,82.5,2
153.26,8.0,82.5,2
154.26,3.4,82.5,2
155.26,10.9,82.3,2
156.26,6.3,82.3,2
157.26,3.7,82.3,2
158.27,11.7,82.5,2
159.27,5.6,82.5,2
160.27,9.5,82.8,2
161.27,5.4,82.7,2
