elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,12.8,81.2,1
2.0,4.5,81.2,1
3.0,12.4,81.3,1
4.0,4.9,81.3,1
5.01,11.6,81.3,1
6.01,10.7,81.4,1
7.01,11.4,81.2,1
8.01,10.7,81.2,1
9.01,10.0,81.3,1
10.01,3.0,81.2,1
11.01,12.4,81.2,1
12.01,10.0,81.2,1
13.01,5.3,81.1,1
14.01,6.0,81.1,1
15.02,4.7,81.1,1
16.02,5.5,81.2,1
17.02,6.6,81.2,1
18.03,3.3,81.1,1
19.03,4.9,81.1,1
20.03,4.3,80.8,1
21.03,10.7,81.2,1
22.03,10.4,81.2,1
23.03,15.6,81.2,1
24.04,8.7,81.2,1
25.04,8.9,81.2,1
26.04,9.4,81.2,1
27.04,6.0,81.2,1
28.04,12.7,81.2,1
29.04,8.2,81.2,1
30.04,5.3,81.2,1
31.04,7.7,81.2,1
32.04,6.9,81.2,1
33.04,12.7,81.1,1
34.05,23.3,81.1,1
35.05,15.1,81.1,1
36.05,28.4,81.4,1
37.05,13.4,81.4,1
38.05,12.2,81.5,1
39.05,2.6,81.5,1
40.05,16.3,81.5,1
41.06,14.2,81.4,1
42.06,9.2,81.3,1
43.06,10.6,81.4,1
44.06,4.6,81.2,1
45.06,5.3,81.2,1
46.06,7.3,81.2,1
47.06,3.3,81.2,1
48.06,13.8,81.2,1
49.06,11.5,81.2,1
50.06,11.3,81.2,1
51.07,8.8,81.1,1
52.07,9.9,81.2,1
53.07,9.9,81.2,1
54.07,6.5,81.2,1
55.07,25.7,81.3,1
56.07,27.1,81.6,1
57.07,13.4,81.4,1
58.07,16.7,81.5,1
59.07,8.3,81.5,1
60.07,8.5,81.5,1
61.08,4.9,81.5,1
62.08,8.5,81.3,1
63.08,8.2,81.2,1
64.08,6.3,81.2,1
65.08,7.2,81.2,1
66.08,10.4,81.2,1
67.08,3.7,81.2,1
68.08,4.0,81.2,1
69.09,8.0,81.2,1
70.09,3.3,81.2,1
71.09,6.0,81.2,1
72.09,5.1,81.1,1
73.09,9.4,81.2,1
74.09,1.9,81.1,1
75.09,5.0,81.2,1
76.09,3.7,81.2,1
77.1,3.5,81.2,1
78.1,3.0,81.1,1
79.1,5.4,81.0,1
80.1,4.7,81.0,1
81.1,2.1,81.0,1
82.1,8.4,81.1,1
83.1,13.0,80.8,1
84.1,7.0,80.8,1
85.1,7.2,80.8,1
86.11,8.5,80.7,1
87.11,2.7,80.8,1
88.11,2.3,80.8,1
89.11,2.4,80.8,1
90.11,2.1,80.8,1
91.11,9.4,80.8,1
92.11,6.9,80.7,1
93.12,2.6,80.7,1
94.12,3.1,80.7,1
95.12,2.5,80.7,1
96.12,14.5,80.7,1
97.12,3.3,80.7,1
98.12,4.7,80.7,1
99.12,2.3,80.7,1
100.12,2.6,80.7,1
101.12,1.9,80.7,1
102.13,2.9,80.7,1
103.13,4.2,80.7,1
104.13,3.1,80.7,1
105.13,2.7,80.7,1
106.13,3.4,80.7,1
107.13,4.0,80.7,1
108.13,3.5,80.8,1
109.13,6.3,80.9,1
110.14,9.4,80.9,1
111.14,12.1,81.0,1
112.14,9.5,81.0,1
113.14,8.3,81.0,1
114.14,7.4,81.0,1
115.14,2.9,81.0,1
116.14,3.0,81.0,1
117.14,2.1,81.0,1
118.15,4.3,81.0,1
119.15,15.6,81.0,1
120.15,9.8,81.0,1
121.15,9.8,81.0,1
122.15,5.4,81.0,1
123.15,9.2,81.0,1
124.16,7.3,81.0,1
125.16,5.7,81.0,1
126.16,9.9,81.0,1
127.16,7.0,81.0,1
128.17,8.5,81.0,1
129.17,14.8,81.1,1
130.17,35.1,81.1,1
131.17,11.0,81.0,1
132.17,10.9,81.0,1
133.18,14.1,81.1,1
134.18,9.8,81.1,1
135.18,16.4,81.1,1
136.18,5.6,81.1,1
137.18,4.4,81.1,1
138.18,3.5,81.1,1
139.18,2.7,81.1,1
140.18,9.7,81.0,1
141.19,19.9,81.0,1
142.19,8.5,81.0,1
143.19,9.2,81.0,1
144.19,11.4,80.9,1
145.19,9.5,81.0,1
146.19,10.4,81.0,1
147.19,7.6,81.0,1
148.2,6.6,81.0,1
149.2,13.6,81.1,1
150.2,9.1,81.1,1
151.2,8.8,81.1,1
152.2,8.2,81.1,1
153.2,9.9,81.1,1
154.2,14.4,81.1,1
155.2,8.6,81.2,1
156.21,8.1,81.2,1
157.21,15.9,81.1,1
158.21,7.6,81.1,1
159.21,10.8,81.1,1
160.21,11.0,81.1,1
161.21,8.5,81.0,1
162.21,5.5,81.0,1
163.21,5.6,81.0,1
164.22,11.1,81.0,1
165.22,16.6,81.0,1
166.22,9.0,81.0,1
167.22,9.8,81.0,1
168.22,16.6,81.1,1
169.22,18.0,81.0,1
170.22,9.5,81.1,1
171.23,6.6,81.1,1
172.23,6.9,81.0,1
173.23,6.1,81.1,1
174.23,8.3,81.1,1
175.23,18.2,81.0,1
176.23,10.3,81.0,1
177.23,12.0,80.9,1
178.23,9.1,80.9,1
179.23,3.5,80.8,1
180.24,18.6,81.0,1
181.24,13.6,81.0,1
182.24,10.2,81.1,1
183.24,6.9,81.1,1
